,crim,rm,dis
1,0.00632,6.575,4.09
2,0.02731,6.421,4.9671
3,0.02729,7.185,4.9671
4,0.03237,6.998,6.0622
5,0.06905,7.147,6.0622
6,0.02985,6.43,6.0622
7,0.08829,6.012,5.5605
8,0.14455,6.172,5.9505
9,0.21124,5.631,6.0821
10,0.17004,6.004,6.5921
11,0.22489,6.377,6.3467
12,0.11747,6.009,6.2267
13,0.09378,5.889,5.4509
14,0.62976,5.949,4.7075
15,0.63796,6.096,4.4619
16,0.62739,5.834,4.4986
17,1.05393,5.935,4.4986
18,0.7842,5.99,4.2579
19,0.80271,5.456,3.7965
20,0.7258,5.727,3.7965
21,1.25179,5.57,3.7979
22,0.85204,5.965,4.0123
23,1.23247,6.142,3.9769
24,0.98843,5.813,4.0952
25,0.75026,5.924,4.3996
26,0.84054,5.599,4.4546
27,0.67191,5.813,4.682
28,0.95577,6.047,4.4534
29,0.77299,6.495,4.4547
30,1.00245,6.674,4.239
31,1.13081,5.713,4.233
32,1.35472,6.072,4.175
33,1.38799,5.95,3.99
34,1.15172,5.701,3.7872
35,1.61282,6.096,3.7598
36,0.06417,5.933,3.3603
37,0.09744,5.841,3.3779
38,0.08014,5.85,3.9342
39,0.17505,5.966,3.8473
40,0.02763,6.595,5.4011
41,0.03359,7.024,5.4011
42,0.12744,6.77,5.7209
43,0.1415,6.169,5.7209
44,0.15936,6.211,5.7209
45,0.12269,6.069,5.7209
46,0.17142,5.682,5.1004
47,0.18836,5.786,5.1004
48,0.22927,6.03,5.6894
49,0.25387,5.399,5.87
50,0.21977,5.602,6.0877
51,0.08873,5.963,6.8147
52,0.04337,6.115,6.8147
53,0.0536,6.511,6.8147
54,0.04981,5.998,6.8147
55,0.0136,5.888,7.3197
56,0.01311,7.249,8.6966
57,0.02055,6.383,9.1876
58,0.01432,6.816,8.3248
59,0.15445,6.145,7.8148
60,0.10328,5.927,6.932
61,0.14932,5.741,7.2254
62,0.17171,5.966,6.8185
63,0.11027,6.456,7.2255
64,0.1265,6.762,7.9809
65,0.01951,7.104,9.2229
66,0.03584,6.29,6.6115
67,0.04379,5.787,6.6115
68,0.05789,5.878,6.498
69,0.13554,5.594,6.498
70,0.12816,5.885,6.498
71,0.08826,6.417,5.2873
72,0.15876,5.961,5.2873
73,0.09164,6.065,5.2873
74,0.19539,6.245,5.2873
75,0.07896,6.273,4.2515
76,0.09512,6.286,4.5026
77,0.10153,6.279,4.0522
78,0.08707,6.14,4.0905
79,0.05646,6.232,5.0141
80,0.08387,5.874,4.5026
81,0.04113,6.727,5.4007
82,0.04462,6.619,5.4007
83,0.03659,6.302,5.4007
84,0.03551,6.167,5.4007
85,0.05059,6.389,4.7794
86,0.05735,6.63,4.4377
87,0.05188,6.015,4.4272
88,0.07151,6.121,3.7476
89,0.0566,7.007,3.4217
90,0.05302,7.079,3.4145
91,0.04684,6.417,3.0923
92,0.03932,6.405,3.0921
93,0.04203,6.442,3.6659
94,0.02875,6.211,3.6659
95,0.04294,6.249,3.615
96,0.12204,6.625,3.4952
97,0.11504,6.163,3.4952
98,0.12083,8.069,3.4952
99,0.08187,7.82,3.4952
100,0.0686,7.416,3.4952
101,0.14866,6.727,2.7778
102,0.11432,6.781,2.8561
103,0.22876,6.405,2.7147
104,0.21161,6.137,2.7147
105,0.1396,6.167,2.421
106,0.13262,5.851,2.1069
107,0.1712,5.836,2.211
108,0.13117,6.127,2.1224
109,0.12802,6.474,2.4329
110,0.26363,6.229,2.5451
111,0.10793,6.195,2.7778
112,0.10084,6.715,2.6775
113,0.12329,5.913,2.3534
114,0.22212,6.092,2.548
115,0.14231,6.254,2.2565
116,0.17134,5.928,2.4631
117,0.13158,6.176,2.7301
118,0.15098,6.021,2.7474
119,0.13058,5.872,2.4775
120,0.14476,5.731,2.7592
121,0.06899,5.87,2.2577
122,0.07165,6.004,2.1974
123,0.09299,5.961,2.0869
124,0.15038,5.856,1.9444
125,0.09849,5.879,2.0063
126,0.16902,5.986,1.9929
127,0.38735,5.613,1.7572
128,0.25915,5.693,1.7883
129,0.32543,6.431,1.8125
130,0.88125,5.637,1.9799
131,0.34006,6.458,2.1185
132,1.19294,6.326,2.271
133,0.59005,6.372,2.3274
134,0.32982,5.822,2.4699
135,0.97617,5.757,2.346
136,0.55778,6.335,2.1107
137,0.32264,5.942,1.9669
138,0.35233,6.454,1.8498
139,0.2498,5.857,1.6686
140,0.54452,6.151,1.6687
141,0.2909,6.174,1.6119
142,1.62864,5.019,1.4394
143,3.32105,5.403,1.3216
144,4.0974,5.468,1.4118
145,2.77974,4.903,1.3459
146,2.37934,6.13,1.4191
147,2.15505,5.628,1.5166
148,2.36862,4.926,1.4608
149,2.33099,5.186,1.5296
150,2.73397,5.597,1.5257
151,1.6566,6.122,1.618
152,1.49632,5.404,1.5916
153,1.12658,5.012,1.6102
154,2.14918,5.709,1.6232
155,1.41385,6.129,1.7494
156,3.53501,6.152,1.7455
157,2.44668,5.272,1.7364
158,1.22358,6.943,1.8773
159,1.34284,6.066,1.7573
160,1.42502,6.51,1.7659
161,1.27346,6.25,1.7984
162,1.46336,7.489,1.9709
163,1.83377,7.802,2.0407
164,1.51902,8.375,2.162
165,2.24236,5.854,2.422
166,2.924,6.101,2.2834
167,2.01019,7.929,2.0459
168,1.80028,5.877,2.4259
169,2.3004,6.319,2.1
170,2.44953,6.402,2.2625
171,1.20742,5.875,2.4259
172,2.3139,5.88,2.3887
173,0.13914,5.572,2.5961
174,0.09178,6.416,2.6463
175,0.08447,5.859,2.7019
176,0.06664,6.546,3.1323
177,0.07022,6.02,3.5549
178,0.05425,6.315,3.3175
179,0.06642,6.86,2.9153
180,0.0578,6.98,2.829
181,0.06588,7.765,2.741
182,0.06888,6.144,2.5979
183,0.09103,7.155,2.7006
184,0.10008,6.563,2.847
185,0.08308,5.604,2.9879
186,0.06047,6.153,3.2797
187,0.05602,7.831,3.1992
188,0.07875,6.782,3.7886
189,0.12579,6.556,4.5667
190,0.0837,7.185,4.5667
191,0.09068,6.951,6.4798
192,0.06911,6.739,6.4798
193,0.08664,7.178,6.4798
194,0.02187,6.8,6.2196
195,0.01439,6.604,6.2196
196,0.01381,7.875,5.6484
197,0.04011,7.287,7.309
198,0.04666,7.107,7.309
199,0.03768,7.274,7.309
200,0.0315,6.975,7.6534
201,0.01778,7.135,7.6534
202,0.03445,6.162,6.27
203,0.02177,7.61,6.27
204,0.0351,7.853,5.118
205,0.02009,8.034,5.118
206,0.13642,5.891,3.9454
207,0.22969,6.326,4.3549
208,0.25199,5.783,4.3549
209,0.13587,6.064,4.2392
210,0.43571,5.344,3.875
211,0.17446,5.96,3.8771
212,0.37578,5.404,3.665
213,0.21719,5.807,3.6526
214,0.14052,6.375,3.9454
215,0.28955,5.412,3.5875
216,0.19802,6.182,3.9454
217,0.0456,5.888,3.1121
218,0.07013,6.642,3.4211
219,0.11069,5.951,2.8893
220,0.11425,6.373,3.3633
221,0.35809,6.951,2.8617
222,0.40771,6.164,3.048
223,0.62356,6.879,3.2721
224,0.6147,6.618,3.2721
225,0.31533,8.266,2.8944
226,0.52693,8.725,2.8944
227,0.38214,8.04,3.2157
228,0.41238,7.163,3.2157
229,0.29819,7.686,3.3751
230,0.44178,6.552,3.3751
231,0.537,5.981,3.6715
232,0.46296,7.412,3.6715
233,0.57529,8.337,3.8384
234,0.33147,8.247,3.6519
235,0.44791,6.726,3.6519
236,0.33045,6.086,3.6519
237,0.52058,6.631,4.148
238,0.51183,7.358,4.148
239,0.08244,6.481,6.1899
240,0.09252,6.606,6.1899
241,0.11329,6.897,6.3361
242,0.10612,6.095,6.3361
243,0.1029,6.358,7.0355
244,0.12757,6.393,7.0355
245,0.20608,5.593,7.9549
246,0.19133,5.605,7.9549
247,0.33983,6.108,8.0555
248,0.19657,6.226,8.0555
249,0.16439,6.433,7.8265
250,0.19073,6.718,7.8265
251,0.1403,6.487,7.3967
252,0.21409,6.438,7.3967
253,0.08221,6.957,8.9067
254,0.36894,8.259,8.9067
255,0.04819,6.108,9.2203
256,0.03548,5.876,9.2203
257,0.01538,7.454,6.3361
258,0.61154,8.704,1.801
259,0.66351,7.333,1.8946
260,0.65665,6.842,2.0107
261,0.54011,7.203,2.1121
262,0.53412,7.52,2.1398
263,0.52014,8.398,2.2885
264,0.82526,7.327,2.0788
265,0.55007,7.206,1.9301
266,0.76162,5.56,1.9865
267,0.7857,7.014,2.1329
268,0.57834,8.297,2.4216
269,0.5405,7.47,2.872
270,0.09065,5.92,3.9175
271,0.29916,5.856,4.429
272,0.16211,6.24,4.429
273,0.1146,6.538,3.9175
274,0.22188,7.691,4.3665
275,0.05644,6.758,4.0776
276,0.09604,6.854,4.2673
277,0.10469,7.267,4.7872
278,0.06127,6.826,4.8628
279,0.07978,6.482,4.1403
280,0.21038,6.812,4.1007
281,0.03578,7.82,4.6947
282,0.03705,6.968,5.2447
283,0.06129,7.645,5.2119
284,0.01501,7.923,5.885
285,0.00906,7.088,7.3073
286,0.01096,6.453,7.3073
287,0.01965,6.23,9.0892
288,0.03871,6.209,7.3172
289,0.0459,6.315,7.3172
290,0.04297,6.565,7.3172
291,0.03502,6.861,5.1167
292,0.07886,7.148,5.1167
293,0.03615,6.63,5.1167
294,0.08265,6.127,5.5027
295,0.08199,6.009,5.5027
296,0.12932,6.678,5.9604
297,0.05372,6.549,5.9604
298,0.14103,5.79,6.32
299,0.06466,6.345,7.8278
300,0.05561,7.041,7.8278
301,0.04417,6.871,7.8278
302,0.03537,6.59,5.4917
303,0.09266,6.495,5.4917
304,0.1,6.982,5.4917
305,0.05515,7.236,4.022
306,0.05479,6.616,3.37
307,0.07503,7.42,3.0992
308,0.04932,6.849,3.1827
309,0.49298,6.635,3.3175
310,0.3494,5.972,3.1025
311,2.63548,4.973,2.5194
312,0.79041,6.122,2.6403
313,0.26169,6.023,2.834
314,0.26938,6.266,3.2628
315,0.3692,6.567,3.6023
316,0.25356,5.705,3.945
317,0.31827,5.914,3.9986
318,0.24522,5.782,4.0317
319,0.40202,6.382,3.5325
320,0.47547,6.113,4.0019
321,0.1676,6.426,4.5404
322,0.18159,6.376,4.5404
323,0.35114,6.041,4.7211
324,0.28392,5.708,4.7211
325,0.34109,6.415,4.7211
326,0.19186,6.431,5.4159
327,0.30347,6.312,5.4159
328,0.24103,6.083,5.4159
329,0.06617,5.868,5.2146
330,0.06724,6.333,5.2146
331,0.04544,6.144,5.8736
332,0.05023,5.706,6.6407
333,0.03466,6.031,6.6407
334,0.05083,6.316,6.4584
335,0.03738,6.31,6.4584
336,0.03961,6.037,5.9853
337,0.03427,5.869,5.2311
338,0.03041,5.895,5.615
339,0.03306,6.059,4.8122
340,0.05497,5.985,4.8122
341,0.06151,5.968,4.8122
342,0.01301,7.241,7.0379
343,0.02498,6.54,6.2669
344,0.02543,6.696,5.7321
345,0.03049,6.874,6.4654
346,0.03113,6.014,8.0136
347,0.06162,5.898,8.0136
348,0.0187,6.516,8.5353
349,0.01501,6.635,8.344
350,0.02899,6.939,8.7921
351,0.06211,6.49,8.7921
352,0.0795,6.579,10.7103
353,0.07244,5.884,10.7103
354,0.01709,6.728,12.1265
355,0.04301,5.663,10.5857
356,0.10659,5.936,10.5857
357,8.98296,6.212,2.1222
358,3.8497,6.395,2.5052
359,5.20177,6.127,2.7227
360,4.26131,6.112,2.5091
361,4.54192,6.398,2.5182
362,3.83684,6.251,2.2955
363,3.67822,5.362,2.1036
364,4.22239,5.803,1.9047
365,3.47428,8.78,1.9047
366,4.55587,3.561,1.6132
367,3.69695,4.963,1.7523
368,13.5222,3.863,1.5106
369,4.89822,4.97,1.3325
370,5.66998,6.683,1.3567
371,6.53876,7.016,1.2024
372,9.2323,6.216,1.1691
373,8.26725,5.875,1.1296
374,11.1081,4.906,1.1742
375,18.4982,4.138,1.137
376,19.6091,7.313,1.3163
377,15.288,6.649,1.3449
378,9.82349,6.794,1.358
379,23.6482,6.38,1.3861
380,17.8667,6.223,1.3861
381,88.9762,6.968,1.4165
382,15.8744,6.545,1.5192
383,9.18702,5.536,1.5804
384,7.99248,5.52,1.5331
385,20.0849,4.368,1.4395
386,16.8118,5.277,1.4261
387,24.3938,4.652,1.4672
388,22.5971,5,1.5184
389,14.3337,4.88,1.5895
390,8.15174,5.39,1.7281
391,6.96215,5.713,1.9265
392,5.29305,6.051,2.1678
393,11.5779,5.036,1.77
394,8.64476,6.193,1.7912
395,13.3598,5.887,1.7821
396,8.71675,6.471,1.7257
397,5.87205,6.405,1.6768
398,7.67202,5.747,1.6334
399,38.3518,5.453,1.4896
400,9.91655,5.852,1.5004
401,25.0461,5.987,1.5888
402,14.2362,6.343,1.5741
403,9.59571,6.404,1.639
404,24.8017,5.349,1.7028
405,41.5292,5.531,1.6074
406,67.9208,5.683,1.4254
407,20.7162,4.138,1.1781
408,11.9511,5.608,1.2852
409,7.40389,5.617,1.4547
410,14.4383,6.852,1.4655
411,51.1358,5.757,1.413
412,14.0507,6.657,1.5275
413,18.811,4.628,1.5539
414,28.6558,5.155,1.5894
415,45.7461,4.519,1.6582
416,18.0846,6.434,1.8347
417,10.8342,6.782,1.8195
418,25.9406,5.304,1.6475
419,73.5341,5.957,1.8026
420,11.8123,6.824,1.794
421,11.0874,6.411,1.8589
422,7.02259,6.006,1.8746
423,12.0482,5.648,1.9512
424,7.05042,6.103,2.0218
425,8.79212,5.565,2.0635
426,15.8603,5.896,1.9096
427,12.2472,5.837,1.9976
428,37.6619,6.202,1.8629
429,7.36711,6.193,1.9356
430,9.33889,6.38,1.9682
431,8.49213,6.348,2.0527
432,10.0623,6.833,2.0882
433,6.44405,6.425,2.2004
434,5.58107,6.436,2.3158
435,13.9134,6.208,2.2222
436,11.1604,6.629,2.1247
437,14.4208,6.461,2.0026
438,15.1772,6.152,1.9142
439,13.6781,5.935,1.8206
440,9.39063,5.627,1.8172
441,22.0511,5.818,1.8662
442,9.72418,6.406,2.0651
443,5.66637,6.219,2.0048
444,9.96654,6.485,1.9784
445,12.8023,5.854,1.8956
446,10.6718,6.459,1.9879
447,6.28807,6.341,2.072
448,9.92485,6.251,2.198
449,9.32909,6.185,2.2616
450,7.52601,6.417,2.185
451,6.71772,6.749,2.3236
452,5.44114,6.655,2.3552
453,5.09017,6.297,2.3682
454,8.24809,7.393,2.4527
455,9.51363,6.728,2.4961
456,4.75237,6.525,2.4358
457,4.66883,5.976,2.5806
458,8.20058,5.936,2.7792
459,7.75223,6.301,2.7831
460,6.80117,6.081,2.7175
461,4.81213,6.701,2.5975
462,3.69311,6.376,2.5671
463,6.65492,6.317,2.7344
464,5.82115,6.513,2.8016
465,7.83932,6.209,2.9634
466,3.1636,5.759,3.0665
467,3.77498,5.952,2.8715
468,4.42228,6.003,2.5403
469,15.5757,5.926,2.9084
470,13.0751,5.713,2.8237
471,4.34879,6.167,3.0334
472,4.03841,6.229,3.0993
473,3.56868,6.437,2.8965
474,4.64689,6.98,2.5329
475,8.05579,5.427,2.4298
476,6.39312,6.162,2.206
477,4.87141,6.484,2.3053
478,15.0234,5.304,2.1007
479,10.233,6.185,2.1705
480,14.3337,6.229,1.9512
481,5.82401,6.242,3.4242
482,5.70818,6.75,3.3317
483,5.73116,7.061,3.4106
484,2.81838,5.762,4.0983
485,2.37857,5.871,3.724
486,3.67367,6.312,3.9917
487,5.69175,6.114,3.5459
488,4.83567,5.905,3.1523
489,0.15086,5.454,1.8209
490,0.18337,5.414,1.7554
491,0.20746,5.093,1.8226
492,0.10574,5.983,1.8681
493,0.11132,5.983,2.1099
494,0.17331,5.707,2.3817
495,0.27957,5.926,2.3817
496,0.17899,5.67,2.7986
497,0.2896,5.39,2.7986
498,0.26838,5.794,2.8927
499,0.23912,6.019,2.4091
500,0.17783,5.569,2.3999
501,0.22438,6.027,2.4982
502,0.06263,6.593,2.4786
503,0.04527,6.12,2.2875
504,0.06076,6.976,2.1675
505,0.10959,6.794,2.3889
506,0.04741,6.03,2.505
